"SKU","DESCRIPTION","YEAR","CAPACITY","URL","PRICE","SELLER_INFORMATION","OFFER_DESCRIPTION","COUNTRY"
11331,"Barbaresco,Angelo Gaja",1990,"750ml","https://www.wine-searcher.com/find/barbaresco+angelo+gaja/1990/-/-/u","$329.00","The Redd Collection","1990Barbaresco,Angelo Gaja","USA (CA)"
11332,"Barbaresco,Angelo Gaja",2010,"750ml","https://www.wine-searcher.com/find/barbaresco+angelo+gaja/2010/-/-/u","$175.00","The Redd Collection","2010Barbaresco,Angelo Gaja","USA (CA)"
11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,"750ml","https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u","$304.00","The Redd Collection","2009Barbaresco,Costa Russi,Angelo Gaja","USA (CA)"
11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,"750ml","https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u","$379.00","The Old & Rare Wine Company","Angelo Gaja Costa Russi Langhe2009","USA (CA)"
11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,"750ml","https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u","$379.98","Wine House","2009Angelo Gaja Langhe Costa Russi750ml","USA (CA)"
11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u","$339.00","SommPicks","2000Gaja Langhe Nebbiolo Sori San Lorenzo","USA (CA)"
11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u","$348.00","The Redd Collection","2000Barbaresco,Sori San Lorenzo,Angelo Gaja","USA (CA)"
11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u","$348.00","Westgarth Wines","2000Gaja,Sori San Lorenzo","USA (CA)"
11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u","$700.00","Vinfolio","2000Gaja-Langhe Sori San Lorenzo1.5L","USA (CA)"
11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u","$4175.00","Westgarth Wines","2000Gaja,Sori San Lorenzo","USA (CA)"
11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u","$304.00","The Redd Collection","2009Barbaresco,Sori Tildin,Angelo Gaja","USA (CA)"
11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u","$315.00","Westgarth Wines","2009Gaja,Sori Tildin","USA (CA)"
11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u","$449.97","Artisan Wine Depot","Gaja""Sori Tildin""LangheD.O.C.2009(Piedmont,Italy)-[AG96][WE95][JS95][WS93]","USA (CA)"
11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u","$3775.00","Westgarth Wines","2009Gaja,Sori Tildin","USA (CA)"
11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,"1.5L","https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u","$395.00","European Wine Resource","2010Gaja-Sori Tildin","USA (CA)"
11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,"1.5L","https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u","$455.00","Westgarth Wines","2010Gaja,Sori Tildin","USA (CA)"
11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,"1.5L","https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u","$455.00","The Redd Collection","2010Barbaresco,Sori Tildin,Angelo Gaja","USA (CA)"
11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,"1.5L","https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u","$489.97","Artisan Wine Depot","Gaja""Sori Tildin""LangheD.O.C.2010(Piedmont,Italy)-[JS97][RP96+][JS96(+)][WS94]","USA (CA)"
11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,"1.5L","https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u","$489.99","Lincoln Fine Wines","Gaja-Nebbiolo Sori Tildin Langhe2010","USA (CA)"
11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,"1.5L","https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u","$910.00","The Redd Collection","2010Barbaresco,Sori Tildin,Angelo Gaja","USA (CA)"
11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,"1.5L","https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u","$2725.00","Westgarth Wines","2010Gaja,Sori Tildin","USA (CA)"
11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u","$395.00","European Wine Resource","2010Gaja-Sori Tildin","USA (CA)"
11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u","$455.00","Westgarth Wines","2010Gaja,Sori Tildin","USA (CA)"
11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u","$455.00","The Redd Collection","2010Barbaresco,Sori Tildin,Angelo Gaja","USA (CA)"
11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u","$489.97","Artisan Wine Depot","Gaja""Sori Tildin""LangheD.O.C.2010(Piedmont,Italy)-[JS97][RP96+][JS96(+)][WS94]","USA (CA)"
11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u","$489.99","Lincoln Fine Wines","Gaja-Nebbiolo Sori Tildin Langhe2010","USA (CA)"
11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u","$910.00","The Redd Collection","2010Barbaresco,Sori Tildin,Angelo Gaja","USA (CA)"
11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,"750ml","https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u","$2725.00","Westgarth Wines","2010Gaja,Sori Tildin","USA (CA)"
11338,"Barolo Bussia Colonnello,Aldo Conterno",1989,"750ml","https://www.wine-searcher.com/find/barolo+bussia+colonello+aldo+conterno/1989","$156.00","Spectrum Wine Auctions","[lot78355]Aldo Conterno Barolo Bricco Bussia Vigna Colonnello1989","USA (CA)"
11338,"Barolo Bussia Colonnello,Aldo Conterno",1989,"750ml","https://www.wine-searcher.com/find/barolo+bussia+colonello+aldo+conterno/1989","$278.00","The Redd Collection","1989Barolo Bussia Colonnello,Aldo Conterno","USA (CA)"
